Date,Open,High,Low,Close
2022-06-14,169.75,172.059998,164.279999,167.539993
2022-06-15,169.259995,183.850006,168.529999,180.110001
2022-06-16,174.0,176.270004,171.559998,173.350006
2022-06-17,173.630005,179.649994,173.339996,175.509995
2022-06-21,177.600006,178.619995,169.800003,170.910004
2022-06-22,170.75,182.820007,170.199997,178.889999
2022-06-23,180.5,182.759995,175.869995,181.710007
2022-06-24,183.5,191.190002,181.839996,190.850006
2022-06-27,191.770004,191.779999,182.389999,189.139999
2022-06-28,189.199997,192.199997,179.369995,179.600006
2022-06-29,179.550003,180.669998,175.100006,178.360001
2022-06-30,177.070007,179.449997,170.300003,174.869995
2022-07-01,176.490005,180.100006,174.270004,179.949997
2022-07-05,176.279999,185.919998,172.679993,185.880005
2022-07-06,185.199997,186.220001,180.820007,184.059998
2022-07-07,184.270004,190.210007,183.5,189.270004
2022-07-08,186.020004,189.910004,182.75,186.979996
2022-07-11,184.729996,184.990005,176.889999,177.339996
2022-07-12,177.330002,179.779999,173.419998,174.449997
2022-07-13,170.5,179.179993,169.699997,176.559998
2022-07-14,175.559998,177.520004,171.820007,174.779999
2022-07-15,175.580002,189.220001,174.559998,189.110001
2022-07-18,192.5,199.669998,189.800003,190.919998
2022-07-19,193.020004,201.970001,188.399994,201.630005
2022-07-20,208.169998,216.970001,200.100006,216.440002
2022-07-21,214.300003,224.320007,211.5,223.880005
2022-07-22,222.380005,229.350006,218.440002,220.440002
2022-07-25,221.309998,225.229996,216.350006,218.509995
2022-07-26,216.660004,219.389999,211.639999,213.910004
2022-07-27,216.479996,227.779999,214.580002,226.75
2022-07-28,224.600006,228.100006,219.669998,226.020004
2022-07-29,223.289993,230.75,222.399994,224.899994
2022-08-01,223.100006,228.389999,221.0,226.210007
2022-08-02,222.759995,228.199997,220.880005,221.419998
2022-08-03,224.789993,228.100006,222.419998,226.729996
2022-08-04,227.679993,232.070007,225.050003,229.910004
2022-08-05,225.300003,228.619995,222.869995,226.779999
2022-08-08,227.490005,241.960007,226.410004,233.490005
2022-08-09,231.619995,232.199997,224.649994,229.940002
2022-08-10,236.990005,244.539993,236.600006,244.110001
2022-08-11,244.679993,251.619995,241.509995,242.699997
2022-08-12,244.809998,249.410004,243.759995,249.300003
2022-08-15,248.110001,251.990005,247.509995,249.110001
2022-08-16,247.160004,249.289993,244.029999,245.690002
2022-08-17,241.179993,244.240005,237.559998,241.149994
2022-08-18,241.960007,246.479996,239.279999,245.169998
2022-08-19,240.949997,243.289993,235.679993,241.160004
2022-08-22,232.550003,233.479996,224.589996,226.539993
2022-08-23,226.460007,229.899994,224.300003,224.550003
2022-08-24,225.660004,234.100006,223.940002,229.610001
2022-08-25,230.240005,234.160004,229.0,233.979996
2022-08-26,233.630005,236.949997,223.149994,223.279999
2022-08-29,221.929993,229.869995,221.520004,224.570007
2022-08-30,226.660004,229.789993,218.740005,220.649994
2022-08-31,227.0,233.880005,223.429993,223.559998
2022-09-01,220.720001,230.369995,219.470001,230.039993
2022-09-02,231.029999,233.880005,225.039993,226.110001
2022-09-06,225.589996,226.850006,214.690002,218.389999
2022-09-07,220.210007,229.330002,218.270004,228.960007
2022-09-08,224.160004,228.740005,221.300003,227.440002
2022-09-09,229.619995,234.779999,229.619995,233.570007
2022-09-12,233.610001,239.490005,233.369995,236.529999
2022-09-13,226.5,227.690002,217.720001,218.130005
2022-09-14,219.820007,228.0,215.800003,224.119995
2022-09-15,230.470001,242.289993,229.100006,235.380005
2022-09-16,231.220001,241.360001,227.830002,240.130005
2022-09-19,245.050003,245.25,235.75,243.630005
2022-09-20,240.369995,250.490005,239.660004,242.850006
2022-09-21,242.669998,248.300003,236.679993,236.869995
2022-09-22,235.350006,240.5,231.660004,237.050003
2022-09-23,235.139999,236.449997,221.429993,226.410004
2022-09-26,225.600006,232.699997,223.009995,224.070007
2022-09-27,228.630005,230.639999,220.720001,224.360001
2022-09-28,229.690002,246.649994,227.380005,245.199997
2022-09-29,241.610001,246.979996,235.679993,239.710007
2022-09-30,237.0,242.440002,233.259995,235.440002
2022-10-03,237.850006,241.539993,232.850006,239.039993
2022-10-04,244.839996,245.800003,233.25,240.740005
2022-10-05,238.759995,241.589996,227.380005,236.729996
2022-10-06,236.679993,244.279999,233.910004,240.020004
2022-10-07,235.770004,237.330002,224.279999,224.75
2022-10-10,225.639999,233.830002,224.229996,229.979996
2022-10-11,226.050003,230.440002,213.699997,214.289993
2022-10-12,214.300003,223.669998,212.639999,220.869995
2022-10-13,212.690002,234.470001,211.729996,232.509995
2022-10-14,237.800003,238.800003,229.509995,230.0
2022-10-17,234.410004,249.919998,234.399994,245.100006
2022-10-18,249.800003,250.369995,237.729996,240.860001
2022-10-19,265.0,279.299988,262.660004,272.380005
2022-10-20,272.779999,278.380005,266.380005,268.160004
2022-10-21,268.950012,290.75,265.679993,289.570007
2022-10-24,290.230011,290.48999,280.359985,282.450012
2022-10-25,286.950012,297.589996,285.549988,291.019989
2022-10-26,290.040009,305.630005,288.040009,298.619995
2022-10-27,298.329987,305.209991,294.779999,296.940002
2022-10-28,297.700012,301.190002,292.290009,295.720001
2022-10-31,295.130005,297.619995,289.5,291.880005
2022-11-01,296.170013,299.700012,286.420013,286.75
2022-11-02,286.399994,287.329987,272.839996,273.0
2022-11-03,271.25,276.290009,268.799988,269.059998
2022-11-04,272.019989,274.970001,255.320007,260.790009
2022-11-07,261.059998,261.149994,252.089996,258.600006
2022-11-08,259.920013,266.079987,256.880005,263.459991
2022-11-09,259.660004,260.899994,254.220001,254.660004
2022-11-10,265.98999,275.359985,260.089996,274.970001
2022-11-11,274.470001,290.660004,271.559998,290.130005
2022-11-14,290.0,311.0,288.190002,299.269989
